# IPsum Threat Intelligence Feed
# (https://github.com/stamparm/ipsum)
#
# Last update: Mon, 30 Mar 2026 03:00:58 +0200
#
# IP	number of (black)lists
#
2.57.121.112	11
2.57.121.25	10
91.224.92.50	9
185.156.73.233	9
2.57.122.190	8
14.53.61.63	8
71.6.146.186	8
74.48.16.46	8
80.82.77.33	8
114.111.54.188	8
185.91.69.217	8
195.178.110.15	8
213.112.126.21	8
2.27.53.96	7
2.57.121.17	7
2.57.121.69	7
2.57.122.192	7
2.57.122.195	7
2.57.122.197	7
2.57.122.199	7
2.57.122.238	7
5.101.64.6	7
8.154.6.154	7
12.156.67.18	7
14.29.198.130	7
14.63.196.175	7
14.63.217.28	7
14.225.18.22	7
18.116.101.220	7
36.64.162.195	7
36.91.166.34	7
37.120.213.13	7
45.148.10.121	7
45.148.10.141	7
60.199.224.2	7
62.3.58.42	7
62.193.106.227	7
66.132.172.132	7
66.132.195.99	7
66.132.195.106	7
71.6.135.131	7
71.6.165.200	7
80.82.77.139	7
80.253.31.232	7
81.192.46.36	7
81.211.72.167	7
82.24.64.32	7
85.18.236.229	7
86.54.31.38	7
86.54.31.42	7
87.251.64.141	7
92.118.39.76	7
92.118.39.95	7
92.205.56.196	7
92.205.57.72	7
92.207.4.157	7
95.58.255.251	7
95.167.225.76	7
101.47.158.137	7
103.120.227.88	7
103.143.10.79	7
104.168.56.24	7
118.70.178.158	7
121.165.204.105	7
124.243.170.62	7
125.21.59.218	7
138.204.127.54	7
139.59.112.10	7
148.135.17.10	7
163.7.1.156	7
163.7.8.88	7
167.94.146.57	7
168.167.228.74	7
171.213.135.78	7
171.243.151.30	7
171.244.37.96	7
175.107.32.186	7
176.12.76.109	7
176.120.22.17	7
177.229.197.38	7
188.128.75.50	7
193.24.211.93	7
193.32.162.145	7
197.5.145.73	7
213.209.159.158	7
213.209.159.159	7
218.145.181.48	7
220.80.223.144	7
220.81.148.22	7
220.178.8.154	7
222.99.15.195	7
223.197.186.7	7
1.94.18.250	6
1.235.222.192	6
2.27.63.63	6
2.57.121.50	6
2.57.121.86	6
2.57.121.118	6
2.57.122.188	6
2.57.122.189	6
2.57.122.191	6
2.57.122.193	6
2.57.122.194	6
2.57.122.196	6
3.129.187.38	6
3.130.168.2	6
3.131.220.121	6
3.132.26.232	6
3.134.216.108	6
3.143.162.210	6
5.161.156.30	6
5.181.124.62	6
5.187.35.26	6
5.187.97.40	6
5.188.166.171	6
5.195.226.17	6
5.223.67.128	6
8.222.132.244	6
8.245.17.190	6
13.222.168.56	6
14.18.122.240	6
14.63.198.239	6
14.103.108.225	6
14.103.112.5	6
14.103.113.212	6
14.103.114.231	6
14.103.118.189	6
14.103.120.130	6
14.103.127.232	6
14.103.127.234	6
14.103.178.182	6
14.103.191.198	6
14.116.156.100	6
14.225.18.19	6
14.225.18.20	6
14.225.18.21	6
14.248.82.58	6
16.58.56.214	6
18.218.118.203	6
20.15.163.51	6
20.64.105.20	6
20.64.106.75	6
20.65.192.160	6
20.106.32.128	6
20.203.42.204	6
23.91.97.250	6
23.95.252.161	6
23.111.75.127	6
23.227.147.163	6
27.111.32.174	6
27.112.79.178	6
27.128.160.208	6
31.14.32.7	6
34.0.13.61	6
34.39.58.191	6
34.58.124.191	6
34.67.115.220	6
34.85.163.94	6
34.131.63.3	6
34.142.110.144	6
34.175.118.185	6
34.218.238.209	6
35.202.9.133	6
35.203.210.104	6
35.222.117.243	6
35.237.94.18	6
36.50.54.62	6
36.64.68.99	6
36.64.190.82	6
36.92.6.45	6
36.255.3.203	6
36.255.223.75	6
37.60.246.134	6
39.109.104.252	6
39.115.195.164	6
39.123.249.114	6
40.117.97.0	6
40.160.34.88	6
41.33.91.226	6
41.59.86.232	6
41.181.156.205	6
41.216.178.119	6
42.96.13.133	6
42.96.20.16	6
42.112.42.129	6
43.128.93.40	6
43.153.12.68	6
43.163.83.32	6
43.164.195.69	6
43.167.197.189	6
43.228.112.254	6
43.243.142.42	6
43.245.249.251	6
45.7.241.247	6
45.15.224.178	6
45.40.57.41	6
45.43.37.254	6
45.61.52.18	6
45.64.74.51	6
45.66.228.255	6
45.78.194.242	6
45.78.202.217	6
45.78.204.254	6
45.78.207.244	6
45.87.249.155	6
45.91.64.6	6
45.95.212.145	6
45.120.216.232	6
